trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
23481587,7/1/2019 7:45,7/1/2019 7:48,1615,210,326,Clark St & Leland Ave,344,Ravenswood Ave & Lawrence Ave,Subscriber,Male,1980
23481588,7/1/2019 7:45,7/1/2019 7:57,4820,720,220,Clark St & Drummond Pl,307,Southport Ave & Clybourn Ave,Subscriber,Female,1971
23481589,7/1/2019 7:45,7/1/2019 7:52,3449,421,217,Elizabeth (May) St & Fulton St,18,Wacker Dr & Washington St,Subscriber,Male,1990
23481590,7/1/2019 7:45,7/1/2019 7:58,544,794,112,Green St & Randolph St,125,Rush St & Hubbard St,Customer,Female,1984
23481591,7/1/2019 7:45,7/1/2019 7:47,2533,102,227,Southport Ave & Waveland Ave,229,Southport Ave & Roscoe St,Subscriber,Male,1993
23481592,7/1/2019 7:45,7/1/2019 7:48,1312,151,199,Wabash Ave & Grand Ave,24,Fairbanks Ct & Grand Ave,Subscriber,Male,1968
23481593,7/1/2019 7:45,7/1/2019 8:16,5485,"1,865.00",503,Drake Ave & Fullerton Ave,287,Franklin St & Monroe St,Customer,,
23481594,7/1/2019 7:45,7/1/2019 8:03,3923,"1,092.00",14,Morgan St & 18th St,18,Wacker Dr & Washington St,Subscriber,Male,1985
23481596,7/1/2019 7:45,7/1/2019 7:49,1891,222,159,Claremont Ave & Hirsch St,69,Damen Ave & Pierce Ave,Subscriber,Female,1995
23481598,7/1/2019 7:45,7/1/2019 8:01,4678,921,35,Streeter Dr & Grand Ave,301,Clark St & Schiller St,Subscriber,Male,1987
23481599,7/1/2019 7:45,7/1/2019 8:11,1420,"1,520.00",220,Clark St & Drummond Pl,51,Clark St & Randolph St,Subscriber,Female,1984
23481600,7/1/2019 7:45,7/1/2019 7:50,5852,267,188,Greenview Ave & Fullerton Ave,67,Sheffield Ave & Fullerton Ave,Subscriber,Male,1996
23481601,7/1/2019 7:45,7/1/2019 8:04,1883,"1,134.00",329,Lake Shore Dr & Diversey Pkwy,99,Lake Shore Dr & Ohio St,Subscriber,Female,1989
23481603,7/1/2019 7:45,7/1/2019 7:58,1742,779,638,Clinton St & Jackson Blvd,317,Wood St & Taylor St,Subscriber,Male,1984
23481605,7/1/2019 7:45,7/1/2019 7:57,1179,705,282,Halsted St & Maxwell St,287,Franklin St & Monroe St,Subscriber,Male,1991
23481606,7/1/2019 7:45,7/1/2019 8:09,4889,"1,423.00",289,Wells St & Concord Ln,81,Daley Center Plaza,Subscriber,Female,1993
23481607,7/1/2019 7:45,7/1/2019 7:57,6167,704,638,Clinton St & Jackson Blvd,195,Columbus Dr & Randolph St,Subscriber,Male,1966
23481608,7/1/2019 7:45,7/1/2019 7:55,4061,569,198,Green St & Madison St,32,Racine Ave & Congress Pkwy,Subscriber,Female,1960
23481609,7/1/2019 7:45,7/1/2019 7:52,432,404,463,Clark St & Berwyn Ave,344,Ravenswood Ave & Lawrence Ave,Subscriber,Male,1981
23481610,7/1/2019 7:45,7/1/2019 7:51,5264,351,176,Clark St & Elm St,161,Rush St & Superior St,Subscriber,Male,1981
23481611,7/1/2019 7:46,7/1/2019 7:53,199,475,77,Clinton St & Madison St,43,Michigan Ave & Washington St,Subscriber,Male,1982
23481612,7/1/2019 7:46,7/1/2019 7:56,5854,599,176,Clark St & Elm St,133,Kingsbury St & Kinzie St,Subscriber,Male,1995
23481613,7/1/2019 7:46,7/1/2019 7:56,1412,628,359,Larrabee St & Division St,91,Clinton St & Washington Blvd,Subscriber,Male,1991
23481614,7/1/2019 7:46,7/1/2019 7:54,1191,529,77,Clinton St & Madison St,53,Wells St & Huron St,Subscriber,Male,1962
23481615,7/1/2019 7:46,7/1/2019 7:54,3586,492,153,Southport Ave & Wellington Ave,332,Burling St (Halsted) & Diversey Pkwy (Temp),Subscriber,Male,1965
23481616,7/1/2019 7:46,7/1/2019 8:17,3027,"1,893.00",257,Lincoln Ave & Waveland Ave,77,Clinton St & Madison St,Subscriber,Female,1985
23481617,7/1/2019 7:46,7/1/2019 7:54,4207,503,113,Bissell St & Armitage Ave,48,Larrabee St & Kingsbury St,Subscriber,Male,1982
23481618,7/1/2019 7:46,7/1/2019 7:51,2641,294,320,Loomis St & Lexington St,241,Morgan St & Polk St,Subscriber,Male,1999
23481619,7/1/2019 7:46,7/1/2019 8:04,2901,"1,087.00",137,Morgan Ave & 14th Pl,197,Michigan Ave & Madison St,Subscriber,Female,1968
